-1763063096 2 1----Price----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	increas:1 car:2 hp:1 pair:1 xl:2 camri:2 automat:1 transmiss:1 toyota:1 version:1 six:1 mode:1 level:1 order:1 basic:1 full:1 graduat:1 luxuri:1 trim:1 avalon:3 lineup:1 limit:1 liter:1 consist:1 speed:1 choic:1 list:1 us:1 offer:1 size:1 manual:1 powertrain:1 price:1 fact:1 stretch:1 previou:1 shift:1	||	Toyota s Avalon is a full-size car for those who have graduated from the Camry. In fact, the Avalon is basically a stretched version of the previous Camry and uses that car s 268-hp, 3.5-liter V-6 paired with a six-speed automatic transmission with manual shift mode. No other powertrain choices are offered. For 2009, the Avalon lineup consists of three trim levels: XL, XLS, and Limited, listed in order of increasing luxury and price.	##false@@false$$		||	ORGANIZATION: Toyota; Avalon; XLS; 	DATE: 2009; 	NOUN: Toyota; Avalon; car; Camry; fact; Avalon; version; Camry; car s; V-6; transmission; shift mode; powertrain choices; Avalon lineup; levels; XL; XLS; Limited; order; luxury; price; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 2----Verdict----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	car:1 interior:1 count:1 slightli:1 gener:1 famili:1 good:1 comparo:1 six:1 prais:1 gear:1 sedan:1 ampl:1 rise:1 comfort:1 current:1 fuel:1 power:1 debut:1 mileag:1 place:1 refresh:1	||	When the current-generation car debuted for 2005, it placed first in	##false@@false$$	our comparo of six 30,000 family sedans	##false@@true$$	. We praised it for its comfortable interior, ample power, and good fuel mileage. It has since been slightly refreshed and seen its gear count rise by one.	##false@@false$$		||	DATE: 2005; 	NOUN: car; comparo; family sedans; interior; power; fuel mileage; gear count rise; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 3----Verdict----#text.B.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	verdict:1	||	Verdict	##true@@false$$		||	NOUN: Verdict; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 4----Verdict----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	asleep:1 car:2 interior:1 home:1 don:1 unnot:1 good:1 highwai:1 recent:1 cargo:1 announc:1 style:1 seat:1 drive:1 adjust:1 pick:1 copiou:1 won:1 avalon:2 dynam:1 okai:1 categori:1 folk:1 choic:1 backrest:1 editor:1 anyon:1 sedan:1 larg:1 fall:1 stretch:1 occup:1 plenti:1 excit:1 straight:1 room:2 treat:1	||	The Avalon is a good car to go unnoticed in. The styling and the driving dynamics won t get anyone too excited, but that s okay for many folks. Interior and cargo room are copious. Back-seat occupants are treated to an adjustable backrest and plenty of room to stretch out. The car is most at home on long straight highways just don t fall asleep. The Avalon was recently announced as one of our	##false@@false$$	Editors Choice	##false@@true$$	picks in the Large Sedan category.	##false@@false$$		||	ORGANIZATION: Avalon; 	NOUN: Avalon; car; styling; dynamics; t; anyone; s; folks; Interior; cargo room; occupants; backrest; plenty; room; car; home; highways; t fall; Avalon; Editors Choice; Sedan category; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 5----DriveRide----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	mph:1 don:1 last:1 second:1 test:1 engin:1 camri:1 run:1 automat:1 fool:1 six:1 although:1 tidi:1 overpow:1 power:1 avalon:2 hair:1 grai:1 slowpok:1 work:1 liter:1 wherea:1 speed:1 let:1 larger:1 describ:1 provid:1 pass:1 plenti:1 got:1	||	Whereas the V-6 Camry could be described as overpowered, its 3.5-liter V-6 engine works well in the larger Avalon, providing plenty of power for passing. Don t let the gray-hairs fool you; the Avalon is no slowpoke. The last one we tested made the run to 60 mph in a tidy 6.0 seconds, although that was before it got the six-speed automatic.	##false@@false$$		||	NOUN: V-6 Camry; V-6 engine; Avalon; plenty; power; Don t; gray-hairs; Avalon; slowpoke; run; mph; seconds; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 6----Others----#text.A.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	full:1 read:1 click:1 avalon:1 toyota:1 review:1	||	Click here to read our full review of the Toyota Avalon.	##false@@true$$		||	ORGANIZATION: Toyota Avalon; 	NOUN: review; Toyota Avalon; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 7----Others----#text.A.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	test:1 read:1 click:1 involv:1 latest:1 avalon:1 toyota:1 comparison:1	||	Click here to read our latest comparison test involving the Toyota Avalon.	##false@@true$$		||	ORGANIZATION: Toyota Avalon; 	NOUN: comparison test; Toyota Avalon; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 9----DriveRide----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	control:1 standard:1 drop:1 traction:1 trim:1 tour:1 avalon:1 stabil:1	||	Stability and traction control were made standard on all Avalons for 2009. The Touring trim has been dropped.	##false@@false$$		||	DATE: 2009; 	NOUN: Stability; traction control; Avalons; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 10----Others----#text.B.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	highlight:1 recommend:1	||	Highlights and Recommendations	##true@@false$$		||	NOUN: Highlights; Recommendations; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 11----Price----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	equip:1 model:1 wheel:1 xl:1 nine:1 xm:1 automat:1 dual:1 cloth:1 seat:1 metal:1 trim:1 avalon:1 look:1 control:1 inch:1 speaker:1 silver:1 come:1 capabl:1 satellit:1 around:1 climat:1 alloi:1 price:1 start:1 base:1 stereo:1 zone:1	||	The base Avalon model is the XL, which comes equipped with 16-inch alloy wheels, cloth seats, a nine-speaker stereo with XM satellite capability, dual-zone automatic climate control, and silver-metallic-look trim. Pricing starts around 29,000.	##false@@false$$		||	ORGANIZATION: Avalon; XM; 	NOUN: base Avalon model; XL; alloy wheels; cloth seats; stereo; XM satellite capability; climate control; Pricing; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 12----Price----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	equip:1 wheel:1 xl:1 good:1 add:1 activ:1 navig:1 heat:1 amount:1 upgrad:1 seat:2 sunroof:1 best:1 power:1 valu:1 slide:1 leather:1 option:1 think:1 standard:2 tilt:1 front:1 provid:1 voic:1 system:1 surfac:1 start:1 fog:1 lamp:1	||	The XLS, which starts at about 33,000, adds a good amount of standard equipment, and we think it provides the best value. The wheels are upgraded to 17s, and fog lamps, leather seating surfaces, and a power tilting-and-sliding sunroof are standard. A voice-activated navigation system is optional, as are heated front seats.	##false@@false$$		||	NOUN: XLS; amount; equipment; value; wheels; 17s; fog lamps; leather seating surfaces; power; sunroof; navigation system; seats; 	||	##true@@false$$	||	##false@@false$$
-1763063096 2 13----Price----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	climb:1 can:1 re:1 lexu:2 nois:1 territori:1 keyless:1 seat:1 joke:1 cruis:1 laser:1 option:1 limit:2 control:1 includ:1 ventil:1 headlight:1 windshield:1 intens:1 avail:1 front:2 past:1 acoust:1 discharg:1 sever:1 point:1 price:1 start:2 featur:1 actual:1 reduc:1	||	Several Lexus-like features are only available on the Limited, including laser cruise control, high-intensity-discharge headlights, an acoustic-noise-reducing front windshield (no joke), ventilated front seats, and keyless start. Prices for the Limited start at 36,000 and can climb past 39,000 with options, at which point you re well into actual Lexus territory.	##false@@false$$		||	NOUN: features; Limited; laser cruise control; headlights; front windshield; joke; seats; start; Prices; start; options; point; Lexus territory; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 1----DriveRide----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	ride:1 strength:1 offer:1 toyota:1 new:1 traffic:1 sedan:1 comfort:1 zen:1 lot:1 cruis:1 driver:1 insid:1 big:1 avalon:1 harder:1 aggrav:1 thing:1 solac:1	||	The Toyota Avalon does lots of things well, but its strength is the solace it offers those riding inside. It's harder to be aggravated by the news, the traffic or other drivers when you're cruising Zen-like in this big, comfortable sedan.	##false@@false$$		||	ORGANIZATION: Toyota Avalon; 	NOUN: Toyota Avalon; lots; things; strength; solace; news; traffic; drivers; sedan; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 2----Safety----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	equip:1 skid:1 cradl:1 model:1 vehicl:1 last:1 slightli:1 link:1 whiplash:1 cancel:1 activ:1 impact:1 toyota:1 close:1 headrest:1 interest:1 drive:1 sportier:1 comprehens:1 head:1 avalon:1 vsc:1 want:1 mitig:1 limit:1 control:1 safeti:1 standard:2 creat:1 origin:1 rear:1 injuri:1 front:1 lack:1 stabil:1 effect:1 packag:1 experi:1 due:1 ad:1 tour:1 make:1 design:1	||	For 2009, Toyota has closed the last link in Avalon's comprehensive safety package by making skid-mitigating Vehicle Stability Control (VSC) standard on all models. Active front headrests, designed to limit whiplash injuries by cradling the head more effectively in a rear impact, are also added as standard equipment in 2009. The Avalon Touring, originally created for those who wanted a slightly sportier driving experience, has been canceled due to lack of interest.	##false@@false$$		||	ORGANIZATION: Toyota; Vehicle Stability Control; 	DATE: 2009; 2009; 	LOCATION: Avalon; 	NOUN: Toyota; link; Avalon; safety package; Vehicle Stability Control; VSC; standard; models; headrests; whiplash injuries; head; impact; equipment; Avalon Touring; experience; lack; interest; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 3----DriveRide----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	seren:1 smooth:1 includ:1 reason:1 qualiti:1 good:1 vibrat:1 quiet:1 build:1 cost:1 largest:1 function:1 tranquil:1 sedan:2 stand:1 oper:1 featur:1 lot:1 underli:1 avalon:1 whatev:1 mitig:1 design:1 thing:1	||	Toyota's largest sedan stands out most for smoothness and quiet operation. The serenity is a function of many things, including Avalon's underlying design, vibration mitigating features and good build quality. Whatever the reasons, the Avalon is more tranquil than many sedans that cost a lot more.	##false@@false$$		||	ORGANIZATION: Toyota; Avalon; 	NOUN: Toyota; sedan; smoothness; operation; serenity; function; things; Avalon; design; vibration; features; quality; reasons; Avalon; sedans; lot; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 4----Verdict----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	ride:1 car:1 decis:1 roomi:1 quick:1 good:2 carpet:1 travel:1 road:1 automat:1 transmiss:1 almost:1 fail:1 drive:1 purpos:1 pleasant:1 hurri:1 mileag:1 happen:1 impervi:1 worst:1 magic:1 acceler:1 avaolon:1 deliv:1 shift:1	||	The Avaolon rides like a magic carpet, almost impervious to the worst roads you'll travel. But it also delivers good acceleration and good mileage for such a roomy car. Its automatic transmission is quick shifting and decisive. It's pleasant to drive for just about any purpose, and it won't fail you if you happen to be in a hurry.	##false@@false$$		||	NOUN: Avaolon rides; carpet; roads; acceleration; mileage; car; transmission; purpose; hurry; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 5----Price----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	need:1 equip:1 interior:1 realli:1 ergonom:1 roomi:1 good:1 function:1 seat:2 downright:1 avalon:1 control:1 includ:1 famili:1 manag:1 qualiti:1 front:1 nester:1 flexibl:1 empti:1 finish:1 anyon:1 price:1 comfort:1 materi:1 featur:1 stereo:1 base:1 appreci:1 spaciou:1 changer:1 cd:1	||	The interior is finished with quality materials and equipped with ergonomically functional controls. The front seats are roomy and comfortable, the back seat downright spacious. Empty-nesters will appreciate Avalon for its flexibility, and families for its manageable base price, which includes a good stereo with CD changer and most of the features anyone really needs.	##false@@false$$		||	ORGANIZATION: Avalon; 	NOUN: interior; quality materials; controls; seats; seat; Empty-nesters; Avalon; flexibility; families; base price; stereo; CD changer; features anyone; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 6----Safety----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	skid:1 stop:2 govern:1 test:1 distribut:2 score:1 road:1 protect:1 industri:1 airbag:1 complement:1 side:1 full:2 insur:1 electron:2 power:1 evenli:1 ant:1 head:1 forc:2 avalon:1 vsc:1 brake:4 crash:1 regardless:1 sure:1 control:1 addit:1 safeti:1 standard:1 manag:1 lock:1 traction:1 assist:1 come:1 front:1 technolog:1 appli:1 surfac:1 system:1 panic:1 start:1 featur:1 ab:1 latest:1	||	Avalon also has the latest safety technology, starting with a full complement of front, side and head-protection airbags. It scores well in government and insurance-industry crash tests. And in addition to the now-standard VSC skid-management electronics, it comes with traction control and an ant-lock brake system (ABS) with electronic brake-force distribution and brake assist. These features make sure that stopping power is distributed evenly, regardless of road surface, and that the brakes apply with full force in a panic stop.	##false@@false$$		||	NOUN: Avalon; safety technology; complement; front; side; airbags; scores; government; insurance-industry crash tests; addition; VSC skid-management electronics; traction control; brake system; ABS; brake-force distribution; brake; features; power; road surface; brakes; force; panic stop; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 7----DriveRide----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	think:1 easi:1 enjoi:1 easier:1 hectic:1 refug:1 avalon:1 make:1 world:1	||	It all makes Avalon easy to like and even easier to enjoy. Think of it as refuge from a hectic world.	##false@@false$$		||	NOUN: Avalon; refuge; world; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 8----Others----#text.H3.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	lineup:1	||	Lineup	##true@@false$$		||	NOUN: Lineup; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 9----DriveRide----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	equip:1 model:1 liter:1 standard:1 speed:1 come:1 avail:2 transmiss:1 automat:1 toyota:1 six:1 familiar:1 level:2 longer:1 distinguish:1 horsepow:1 tour:1 trim:1 avalon:2	||	The 2009 Toyota Avalon is available in three trim levels distinguished by the level of standard equipment. All come with a 268-horsepower, 3.5-liter V6 and six-speed automatic transmission. The familiar Avalon Touring model is no longer available.	##false@@false$$		||	DATE: 2009; 	NOUN: Toyota Avalon; levels; level; equipment; V6; six-speed; transmission; Avalon Touring model; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 10----Price----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	equip:1 cabin:1 wheel:2 accessori:1 xl:1 nine:1 eight:1 six:1 dual:1 complement:1 cloth:1 seat:1 full:1 power:2 avalon:1 control:2 includ:1 standard:1 inch:1 audio:2 speaker:1 climat:2 alloi:1 system:1 upholsteri:1 steer:1 featur:1 air:1 changer:1 zone:1 filter:1 cd:1	||	The Avalon XL (27,845) is well equipped, with a full complement of power accessories and features such as an eight-way power driver's seat, dual-zone climate control with cabin air filter and audio and climate controls on the steering wheel. The nine-speaker audio system includes a six-CD changer. Cloth upholstery and 16-inch alloy wheels are standard.	##false@@false$$		||	NOUN: Avalon XL; complement; power accessories; features; power driver; seat; climate control; cabin air filter; audio; climate controls; wheel; audio system; changer; Cloth upholstery; alloy wheels; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 11----Price----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	theft:1 wheel:1 xl:2 homelink:1 add:1 compass:1 heat:1 mirror:2 dim:2 seat:1 side:1 univers:1 power:1 leather:1 avalon:1 rearview:1 anti:1 standard:1 inch:1 come:1 moonroof:1 electrochrom:1 system:1 transceiv:1 fog:1 outsid:1 lamp:1 auto:2	||	The Avalon XLS (32,145) adds fog lamps, 17-inch wheels and leather seating. The XLS also comes standard with a power moonroof, heated outside mirrors with electrochromic auto-dimming on the driver's side, an auto-dimming rearview mirror with compass and Homelink universal transceiver, and an anti-theft system.	##false@@false$$		||	ORGANIZATION: XLS; 	NOUN: Avalon XLS; fog lamps; wheels; leather seating; XLS; standard; power moonroof; auto-dimming; driver; side; rearview mirror; compass; transceiver; system; 	||	##true@@false$$	||	##false@@false$$
