4f8e5b81e80eb0e420091588 2 1----Employment----TITLE.HEAD.HTML.#document	ratemyprofessorscom:1 univers:1 california:1 satish:1 rao:1 berkelei:1	||	Satish Rao - University of California Berkeley - RateMyProfessors.com	##true@@false$$		||	ORGANIZATION: University of California Berkeley; 	LOCATION: RateMyProfessors.com; 	NOUN: Satish Rao; University; California Berkeley; RateMyProfessors.com; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 2 2----Others----#text.P.DIV.DIV.BODY.HTML.#document	certifi:1 pleas:1 professor:1 click:1 add:1 rebutt:1 log:1 photo:1 profil:1 want:1	||	If you are a certified professor and want to make a rebuttal or add a photo to your profile, please	##false@@false$$	click here	##true@@true$$	to log in.	##false@@false$$		||	NOUN: professor; rebuttal; photo; profile; click; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 2 4----Others----#text.P.DIV.DIV.BODY.HTML.#document	post:1 can:1 respons:1 tab:2 click:1 access:1 rebutt:1 add:1 blog:1 photo:1 certifi:3 rate:2 becom:1 pleas:1 ratemyprofessorscom:1 page:1 professor:4 account:2 regist:1 comment:1 user:1 right:1 yet:1	||	If you have an account on RateMyProfessors.com but have not yet become a certified professor, please	##false@@false$$	click here	##true@@true$$	to register as a certified professor. With a certified professor account you can post blog-like responses to your ratings, as well as add a photo to your professor page. Your rebuttals will accessible from a tab to the right of the "User Comments and Ratings" tab.	##false@@false$$		||	LOCATION: RateMyProfessors.com; 	NOUN: account; RateMyProfessors.com; professor; click; professor; professor; responses; ratings; photo; professor page; rebuttals; tab; right; User Comments; Ratings; tab; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 2 5----Others----#text.P.DIV.DIV.BODY.HTML.#document	pleas:1 start:1 click:1 account:1	||	If you don't have an account at all, please	##false@@false$$	click here	##true@@true$$	to get started.	##false@@false$$		||	NOUN: account; click; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 2 6----Others----#text.P.DIV.DIV.BODY.HTML.#document	thank:1	||	Thank you.	##false@@false$$		||		||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 2 7----Others----#text.P.DIV.DIV.BODY.HTML.#document	ratemyprofessor:1 team:1	||	The RateMyProfessors Team	##false@@false$$		||	NOUN: RateMyProfessors Team; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 1----Employment----TITLE.HEAD.HTML.#document	satish:1 rao:1 eec:1 uc:1 berkelei:1	||	Satish Rao  EECS at UC Berkeley	##true@@false$$		||	ORGANIZATION: UC Berkeley; 	PERSON: Satish Rao; 	NOUN: Satish Rao; UC Berkeley; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 2----Others----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	evan:1 structur:1 data:1 combinatori:1 algorithm:1 cs:1	||	CS 270.	##false@@false$$	Combinatorial Algorithms and Data Structures	##false@@true$$	, T T 9:30-11:00A, 60 Evans	##false@@false$$		||	ORGANIZATION: Data Structures; Evans; 	NOUN: CS; Algorithms; Data Structures; T T; Evans; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 3----Research----#text.H3.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	select:1 public:1	||	Selected Publications	##true@@false$$		||	NOUN: Publications; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 4----Research----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	press:1 fakcharoenphol:1 annual:1 acm:2 symp:1 rao:1 approxim:1 ny:1 talwar:1 arbitrari:1 tree:1 metric:2 comput:1 york:1 theori:1 pp:1 tight:1 bound:1 proc:1	||	J. Fakcharoenphol, S. Rao, and K. Talwar, "	##false@@false$$	A tight bound on approximating arbitrary metrics by tree metrics	##false@@true$$	," in	##false@@false$$	Proc. 35th Annual ACM Symp. on Theory of Computing	##true@@false$$	, New York, NY: ACM Press, 2003, pp. 448-455.	##false@@false$$		||	PERSON: J. Fakcharoenphol; S. Rao; K. Talwar; 	DATE: 2003; 	LOCATION: New York; 	NOUN: J. Fakcharoenphol; S. Rao; K. Talwar; metrics; tree metrics; Proc; ACM Symp; Theory; Computing; New York; NY; ACM Press; pp; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 5----Research----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	parallel:1 press:1 locat:1 zhao:1 annual:1 acm:2 symp:1 rao:1 distribut:1 kubiatowicz:1 object:1 ny:1 network:1 algorithm:1 hildrum:1 architectur:1 york:1 pp:1 dynam:1 proc:1	||	K. Hildrum, J. D. Kubiatowicz, S. Rao, and B. Y. Zhao, "	##false@@false$$	Distributed object location in a dynamic network	##false@@true$$	," in	##false@@false$$	Proc. 14th Annual ACM Symp. on Parallel Algorithms and Architectures	##true@@false$$	, New York, NY: ACM Press, 2002, pp. 41-52.	##false@@false$$		||	ORGANIZATION: Parallel Algorithms and Architectures; 	PERSON: K. Hildrum; J. D. Kubiatowicz; S. Rao; B. Y. Zhao; 	DATE: 2002; 	LOCATION: New York; 	NOUN: K. Hildrum; J. D. Kubiatowicz; S. Rao; B. Y. Zhao; object location; network; Proc; ACM Symp; Algorithms; Architectures; New York; NY; ACM Press; pp; 	||	##true@@false$$	||	##true@@false$$
